 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
     345.062       345.805       346.602         0.280         0.001     1.1    27   3    coarse levels           
     410.734       440.247       455.062        18.092         0.041     1.4    24  27    refine                  
     457.842       458.170       458.278         0.146         0.000     1.5     3   2    load balance            
    3560.478      6346.119      7532.024      1557.347         0.245    20.7    18  11    particles               
    1736.387      1744.486      1748.614         2.840         0.002     5.7     3   1    feedback                
    7374.392      7379.962      7387.081         2.388         0.000    24.1     1   3    sinks                   
    5554.660      5569.450      5574.013         3.705         0.001    18.2     3  25    poisson                 
     650.721      1128.953      2239.707       624.048         0.553     3.7    21  18    rho                     
     116.508       144.831       200.556        31.031         0.214     0.5    31  18    hydro - ghostzones      
     341.005       364.106       376.280        12.839         0.035     1.2    18  31    courant                 
      46.618        53.999        58.465         2.508         0.046     0.2     3   1    hydro - set unew        
    3832.984      4521.612      4801.381       232.457         0.051    14.7     3   1    hydro - godunov         
      94.675      1044.303      3344.767      1036.106         0.992     3.4     1   3    hydro - rev ghostzones  
     209.386       241.137       246.770         8.162         0.034     0.8     3   5    hydro - set uold        
     565.048       620.890       631.179        12.455         0.020     2.0     3  23    cooling                 
     161.758       201.378       275.394        47.560         0.236     0.7    13  30    flag                    
      59.155        59.225        59.557         0.079         0.001     0.2    32   1    io                      
   30669.996     100.0    TOTAL
